State,Start Grade,End Grade,Start_Year,End_Year,Year,Start_Retention_Count,End_Retention_Count,Derived Cohort Loss Count,Drop_Pct,apportioned_migrants
South Dakota,Grade 8,Grade 10,2013-2014,2015-2016,2016,23.0,585.0,0.0,0.0,158.23827392120074
South Dakota,Grade 8,Grade 10,2015-2016,2017-2018,2018,23.0,468.0,0.0,0.0,0.0
Tennessee,Grade 10,Grade 12,2013-2014,2015-2016,2016,2820.0,1184.0,1636.0,58.014184397163106,27243.29014763483
Tennessee,Grade 10,Grade 12,2015-2016,2017-2018,2018,1848.0,3131.0,0.0,0.0,0.0
Tennessee,Grade 8,Grade 10,2013-2014,2015-2016,2016,499.0,1848.0,0.0,0.0,4820.70985236517
Tennessee,Grade 8,Grade 10,2015-2016,2017-2018,2018,331.0,4178.0,0.0,0.0,0.0
Texas,Grade 10,Grade 12,2013-2014,2015-2016,2016,17307.0,12276.0,5031.0,29.069162766510697,76717.74081565454
Texas,Grade 10,Grade 12,2015-2016,2017-2018,2018,18374.0,17637.0,737.0,4.01110264504191,0.0
Texas,Grade 8,Grade 10,2013-2014,2015-2016,2016,3952.0,18374.0,0.0,0.0,17518.259184345454
Texas,Grade 8,Grade 10,2015-2016,2017-2018,2018,2252.0,16656.0,0.0,0.0,0.0
Utah,Grade 10,Grade 12,2013-2014,2015-2016,2016,657.0,1381.0,0.0,0.0,20187.395184135978
Utah,Grade 10,Grade 12,2015-2016,2017-2018,2018,618.0,1284.0,0.0,0.0,0.0
Utah,Grade 8,Grade 10,2013-2014,2015-2016,2016,49.0,618.0,0.0,0.0,1505.6048158640226
Utah,Grade 8,Grade 10,2015-2016,2017-2018,2018,430.0,701.0,0.0,0.0,0.0
Vermont,Grade 10,Grade 12,2013-2014,2015-2016,2016,162.0,143.0,19.0,11.7283950617284,4209.387096774193
Vermont,Grade 10,Grade 12,2015-2016,2017-2018,2018,92.0,127.0,0.0,0.0,0.0
Vermont,Grade 8,Grade 10,2013-2014,2015-2016,2016,24.0,92.0,0.0,0.0,623.6129032258065
Vermont,Grade 8,Grade 10,2015-2016,2017-2018,2018,14.0,69.0,0.0,0.0,0.0
Virginia,Grade 10,Grade 12,2013-2014,2015-2016,2016,3861.0,2278.0,1583.0,40.999740999741,38230.54447439353
Virginia,Grade 10,Grade 12,2015-2016,2017-2018,2018,3326.0,2680.0,646.0,19.4227300060132,0.0
Virginia,Grade 8,Grade 10,2013-2014,2015-2016,2016,962.0,3326.0,0.0,0.0,9525.455525606469
Virginia,Grade 8,Grade 10,2015-2016,2017-2018,2018,686.0,3315.0,0.0,0.0,0.0
Washington,Grade 10,Grade 12,2013-2014,2015-2016,2016,2128.0,8563.0,0.0,0.0,35627.051327433626
Washington,Grade 10,Grade 12,2015-2016,2017-2018,2018,1012.0,7740.0,0.0,0.0,0.0
Washington,Grade 8,Grade 10,2013-2014,2015-2016,2016,132.0,1012.0,0.0,0.0,2209.948672566372
Washington,Grade 8,Grade 10,2015-2016,2017-2018,2018,100.0,234.0,0.0,0.0,0.0
West Virginia,Grade 10,Grade 12,2013-2014,2015-2016,2016,613.0,322.0,291.0,47.4714518760196,8186.618985695709
West Virginia,Grade 10,Grade 12,2015-2016,2017-2018,2018,530.0,290.0,240.0,45.283018867924504,0.0
West Virginia,Grade 8,Grade 10,2013-2014,2015-2016,2016,156.0,530.0,0.0,0.0,2083.3810143042915
West Virginia,Grade 8,Grade 10,2015-2016,2017-2018,2018,121.0,542.0,0.0,0.0,0.0
Wisconsin,Grade 10,Grade 12,2013-2014,2015-2016,2016,961.0,2599.0,0.0,0.0,19770.45785440613
Wisconsin,Grade 10,Grade 12,2015-2016,2017-2018,2018,823.0,2323.0,0.0,0.0,0.0
Wisconsin,Grade 8,Grade 10,2013-2014,2015-2016,2016,83.0,823.0,0.0,0.0,1707.5421455938697
Wisconsin,Grade 8,Grade 10,2015-2016,2017-2018,2018,50.0,748.0,0.0,0.0,0.0
Wyoming,Grade 10,Grade 12,2013-2014,2015-2016,2016,77.0,165.0,0.0,0.0,3695.163043478261
Wyoming,Grade 10,Grade 12,2015-2016,2017-2018,2018,86.0,124.0,0.0,0.0,0.0
Wyoming,Grade 8,Grade 10,2013-2014,2015-2016,2016,15.0,86.0,0.0,0.0,719.8369565217391
Wyoming,Grade 8,Grade 10,2015-2016,2017-2018,2018,20.0,65.0,0.0,0.0,0.0
